"group_code","group_name","country_code"
"African Union","African Union","AO"
"African Union","African Union","BF"
"African Union","African Union","BI"
"African Union","African Union","BJ"
"African Union","African Union","BW"
"African Union","African Union","CD"
"African Union","African Union","CF"
"African Union","African Union","CG"
"African Union","African Union","CI"
"African Union","African Union","CM"
"African Union","African Union","CV"
"African Union","African Union","DJ"
"African Union","African Union","DZ"
"African Union","African Union","EG"
"African Union","African Union","EH"
"African Union","African Union","ER"
"African Union","African Union","ET"
"African Union","African Union","GA"
"African Union","African Union","GH"
"African Union","African Union","GM"
"African Union","African Union","GN"
"African Union","African Union","GQ"
"African Union","African Union","GW"
"African Union","African Union","KE"
"African Union","African Union","KM"
"African Union","African Union","LR"
"African Union","African Union","LS"
"African Union","African Union","LY"
"African Union","African Union","MA"
"African Union","African Union","MG"
"African Union","African Union","ML"
"African Union","African Union","MR"
"African Union","African Union","MU"
"African Union","African Union","MW"
"African Union","African Union","MZ"
"African Union","African Union","NA"
"African Union","African Union","NE"
"African Union","African Union","NG"
"African Union","African Union","RW"
"African Union","African Union","SC"
"African Union","African Union","SD"
"African Union","African Union","SL"
"African Union","African Union","SN"
"African Union","African Union","SO"
"African Union","African Union","SS"
"African Union","African Union","ST"
"African Union","African Union","SZ"
"African Union","African Union","TD"
"African Union","African Union","TG"
"African Union","African Union","TN"
"African Union","African Union","TZ"
"African Union","African Union","UG"
"African Union","African Union","ZA"
"African Union","African Union","ZM"
"African Union","African Union","ZW"
"Americas","Americas","AG"
"Americas","Americas","AI"
"Americas","Americas","AR"
"Americas","Americas","AW"
"Americas","Americas","BB"
"Americas","Americas","BL"
"Americas","Americas","BM"
"Americas","Americas","BO"
"Americas","Americas","BQ"
"Americas","Americas","BR"
"Americas","Americas","BS"
"Americas","Americas","BV"
"Americas","Americas","BZ"
"Americas","Americas","CA"
"Americas","Americas","CL"
"Americas","Americas","CO"
"Americas","Americas","CR"
"Americas","Americas","CU"
"Americas","Americas","CW"
"Americas","Americas","DM"
"Americas","Americas","DO"
"Americas","Americas","EC"
"Americas","Americas","FK"
"Americas","Americas","FR"
"Americas","Americas","GD"
"Americas","Americas","GE"
"Americas","Americas","GF"
"Americas","Americas","GL"
"Americas","Americas","GP"
"Americas","Americas","GT"
